"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 22 15:16:20 IST 2021","Mon Mar 22 15:16:21 IST 2021","1128","Suite","Test","sanity.general.General","sanity.general.General","test06_verifyLogo","Verify Logo Image","verify logo image Using Sikuli"
"passed","Mon Mar 22 15:16:17 IST 2021","Mon Mar 22 15:16:18 IST 2021","1475","Suite","Test","sanity.general.General","sanity.general.General","test01_verifyListRoles","Verify List Roles","verify list roles - how many roles in list"
